Data\Ora;Tipologia;Periferica;Valore;Codice;Descrizione
09/05/2025 00:19:18;;7N0101;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 00:19:18;;7N0101;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:19:17;;7N0103;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:19:17;;7S0102;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:19:17;;7N0103;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 00:19:17;;7S0102;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:19:17;;7S0103;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:19:17;;7S0103;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:19:17;;7N0102;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:19:17;;7N0102;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:53:56;;7S0101;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:53:56;;7S0101;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
08/05/2025 23:53:55;;7N0101;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
08/05/2025 23:53:55;;7N0101;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:53:55;;7N0103;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:53:55;;7N0103;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
08/05/2025 23:53:55;;7S0103;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
08/05/2025 23:53:55;;7S0103;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:53:55;;7N0102;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:53:55;;7S0102;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:53:55;;7S0102;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
08/05/2025 23:53:54;;7N0102;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
08/05/2025 23:52:23;;7N0203;ON;DB106.DBX17.2;#27 - General - Mancanza comunicazione profiSAFE con Satellite
08/05/2025 23:51:45;;7N0204;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:51:45;;7N0204;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
08/05/2025 23:51:44;;7N0202;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:51:44;;7N0202;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
08/05/2025 23:51:44;;7S0202;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
08/05/2025 23:51:44;;7S0202;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:51:44;;7N0203;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:51:43;;7S0204;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
08/05/2025 23:51:43;;7S0204;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:49:55;;7N0404;ON;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
08/05/2025 23:43:32;;7S0405;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:43:32;;7S0405;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
08/05/2025 23:43:32;;7N0405;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:43:32;;7N0405;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
08/05/2025 23:43:31;;7N0404;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
08/05/2025 23:43:31;;7N0404;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:43:31;;7S0403;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:43:31;;7S0403;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
08/05/2025 23:43:31;;7S0404;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:43:31;;7S0404;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
08/05/2025 23:43:30;;7N0403;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
08/05/2025 23:43:30;;7N0403;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:41:29;;7N0405;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:41:29;;7N0404;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:41:29;;7N0403;ON;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
08/05/2025 23:41:28;;7S0404;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
08/05/2025 23:41:28;;7S0405;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:41:28;;7S0403;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:41:28;;7S0404;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
08/05/2025 23:41:28;;7S0405;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
08/05/2025 23:41:28;;7N0405;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
08/05/2025 23:41:28;;7S0403;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
